"first","second","Freq"
"a","a",14
"a","about",3
"a","abstruse",1
"a","accident",1
"a","acre",4
"a","action",1
"a","albeit",1
"a","amy",1
"a","and",41
"a","another",1
"a","archean",1
"a","around",1
"a","arts",1
"a","as",2
"a","aseptically",1
"a","ashram",1
"a","at",4
"a","attached",1
"a","auditory",1
"a","avatar",1
"a","b",11
"a","baby",20
"a","babysitter",1
"a","bachelor",4
"a","bachelors",1
"a","back",7
"a","backdrop",2
"a","background",2
"a","backing",1
"a","backpack",2
"a","backup",4
"a","bad",71
"a","bag",7
"a","bagel",2
"a","baggy",1
"a","bail",1
"a","bake",2
"a","bakers",1
"a","balance",2
"a","balanced",5
"a","ball",14
"a","ballad",1
"a","ballplayer",1
"a","baltimore",2
"a","ban",6
"a","banana",4
"a","band",16
"a","bandit",1
"a","bang",4
"a","bank",7
"a","banner",4
"a","banquet",2
"a","bar",18
"a","bare",1
"a","barn",4
"a","barometer",1
"a","baroque",1
"a","barrage",1
"a","barrel",5
"a","barren",1
"a","base",3
"a","basifeature",1
"a","basiincome",2
"a","basispread",1
"a","basiunderstanding",1
"a","basiwhole",1
"a","basket",4
"a","bat",3
"a","batch",3
"a","bath",4
"a","bathroom",2
"a","bathtub",3
"a","battery",2
"a","battle",7
"a","be",2
"a","bead",1
"a","beak",1
"a","bear",3
"a","beard",4
"a","beat",5
"a","beautiful",54
"a","beauty",4
"a","because",4
"a","bed",11
"a","bedroom",2
"a","bedtime",1
"a","beer",18
"a","beery",1
"a","beet",1
"a","before",2
"a","beggar",1
"a","beginner",1
"a","beginning",1
"a","beguiling",1
"a","behemoth",1
"a","being",1
"a","belated",1
"a","belgian",2
"a","believer",2
"a","bell",3
"a","belly",1
"a","below",1
"a","bessie",1
"a","best",8
"a","better",78
"a","bevy",2
"a","bi",1
"a","bibliography",1
"a","bicycle",3
"a","bid",4
"a","big",175
"a","bigfoot",2
"a","bijou",1
"a","bike",5
"a","bikini",1
"a","bill",17
"a","billion",10
"a","bimbo",1
"a","binder",2
"a","bio",1
"a","biracial",1
"a","bird",5
"a","birmingham",1
"a","birth",3
"a","birthday",7
"a","bisuit",1
"a","bit",234
"a","bitter",2
"a","bizarre",2
"a","blacklisting",1
"a","bland",1
"a","blank",6
"a","blanket",5
"a","blast",16
"a","blazer",3
"a","blazing",1
"a","blender",5
"a","blessing",9
"a","blink",1
"a","blinking",1
"a","blip",1
"a","bliss",1
"a","bloated",2
"a","blockbuster",3
"a","blog",17
"a","blogger",3
"a","blogging",2
"a","bloody",4
"a","blue",6
"a","blueish",1
"a","blueprint",3
"a","blues",2
"a","board",8
"a","boat",10
"a","body",6
"a","bodyguard",1
"a","boga",1
"a","boiled",1
"a","bolero",1
"a","bollywood",3
"a","bomber",1
"a","bombshell",1
"a","bond",4
"a","bonus",6
"a","book",53
"a","bookmark",1
"a","booster",1
"a","border",1
"a","boring",4
"a","born",2
"a","boss",1
"a","bottle",17
"a","bounce",3
"a","bouquet",2
"a","bourbon",1
"a","bow",5
"a","bowl",16
"a","box",9
"a","boxed",1
"a","boxing",1
"a","boy",22
"a","boycott",2
"a","boyfriend",4
"a","boys",1
"a","bra",1
"a","brain",3
"a","brave",3
"a","break",19
"a","breakdown",2
"a","breaking",2
"a","breakup",2
"a","breath",3
"a","breathless",2
"a","breed",1
"a","breeding",1
"a","breeze",3
"a","brewer",2
"a","brianna",1
"a","bribe",1
"a","brick",7
"a","bridesmaid",1
"a","bridge",10
"a","bridleway",2
"a","brief",15
"a","bright",9
"a","brightening",1
"a","brighter",3
"a","brilliant",4
"a","brittle",1
"a","broad",10
"a","broadly",1
"a","broadsword",1
"a","broken",8
"a","bronthat",1
"a","brook",2
"a","brooklyn",3
"a","broth",1
"a","brotherhood",1
"a","brown",4
"a","brush",4
"a","brute",2
"a","brutish",6
"a","bubblegum",1
"a","bucket",3
"a","budget",9
"a","bug",4
"a","build",1
"a","building",8
"a","bulbous",1
"a","bull",2
"a","bulldozer",2
"a","bullet",2
"a","bulletin",1
"a","bullshitting",1
"a","bumpy",2
